Bug ID,Title / Summary,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Attatchments,Status,comments,
11,“Send Email” and “Export” buttons not working on Payments page,"1- go to payment page
2- select one of payment records
3- click on view
4- click on send email or export","Send Email: should trigger an email to the vendor or recipient with payment details
Export: should generate and download a payment report file (PDF/Excel/CSV)",No response occurs when clicking either button.,Medium,Medium,,,,
12,“View Invoice” in Payment Details leads to 404 Not Found,"1- go to payment page
2- select one of payment records
3- click on view
4- click on invoices
5- click on view ",The View button should navigate to the correct Invoice Details page corresponding to the selected invoice.,The system redirects to a 404 Not Found page.,Medium,High,,,,
13,“Edit Requisition” button not working in New Service Request page,"1-Go to Services
2- Dashboard.
3- Click New Service Request and fill in all required details.
4-Reach the final step 
5-Click Edit Requisition",Clicking Edit Requisition should open the editable service requisition form with the previously entered data.,Nothing happens when clicking Edit Requisition.,High,High,,,,
14,“Request Changes” button not working on Service Request Approval page,"1-Go to Services
2- Dashboard.
3- Create a new Service Request and click Submit for Approval
4-On the Approval page, two options appear — Review & Approve and Request Changes
5-Click Request Changes",Clicking Request Changes should open a modal or trigger an action allowing the approver to add comments and send the request back for revision.,The button does nothing when clicked,High,High,,,,
15,Misaligned / incorrect success message after approving Service Request,"1-Go to Services
2- Dashboard.
3- Create a new Service Request and click Submit for Approval
4-On the Approval page, two options appear — Review & Approve and Request Changes
5-Complete the approval process","The system should display a properly formatted success toast/message (e.g., green background, _ icon, clear success text like “Service Request approved successfully”).",A message appears at the top of the page but looks misaligned,Low,Low,,,,
16,“Add Vendor” from vendors page returns 404 Not Found,"1-Go to Services
2- click on vendors
3- click on add vendor",The system should open the Add Vendor page or form allowing the user to create a new vendor successfully.,The system should open the Add Vendor page or form allowing the user to create a new vendor successfully.,High,High,,,,
17,“View Vendor” redirects to 404 Not Found in Vendors page,"1-Go to Services
2- click on vendors
3- click on view icon for any vendor",Clicking View should navigate to the correct Vendor Details page displaying the vendor’s information,The system navigates to a 404 Not Found page,High,High,,,,
18,“Edit Vendor” redirects to 404 Not Found in Vendors page,"1-Go to Services
2- click on vendors
3- click on edit icon for any vendor","Clicking Edit should navigate to the vendor edit page, displaying the existing data for that vendor in editable fields.",The system navigates to a 404 Not Found page,High,High,,,,
19,"New Contract, the system keeps loading indefinitely without opening the contract creation form.","1-Go to Services
2- click on contracts
3- click on new contract",The New Contract  should displaying all the input fields required to create a new contract.,The system shows a continuous loading state,High,High,,,,
20,“New Performance Report” redirects to 404 Not Found,"1-Go to Services
2- click on performance
3- click on new performance report",Clicking New Performance Report should open the performance report creation form where the user can add details and submit.,The system redirects to a 404 Not Found page.,High,High,,,,
21,Numbers in the Invoices summary section are displayed outside their correct positio,"1-Go to Services
2- click on invoices
3- look at numbers ",All values should be properly aligned within their boxes.,The numbers and text labels are misaligned.,Low,High,,,,
22,Action icons (View / Edit / Download) appear misplaced in Invoices page,"1-Go to Services
2- click on invoices
3- look at (View/Edit/Download) icon",All action icons should appear in the correct order (View _ Edit _ Download) and be aligned neatly on the right side of the row.,"Icons appear randomly or misaligned, not in the expected layout.",Low,Medium,,,,
23,Download icon not working in Invoices page,"1-Go to Services
2- click on invoices
3-  click on download icon for any invoice",Clicking Download should trigger the file download (PDF or other supported format) for the selected invoice.,No response or action occurs after clicking the Download button,Low,Medium,,,,
24,View and Edit actions redirect to 404 Not Found in invoice page,"1-Go to Services
2- click on invoices
3-  click on edit or view icons for any invoice","View should open the selected invoice’s details page
Edit should open the invoice’s edit form with existing data loaded.",Both actions redirect to a 404 Not Found page,High,High,,,,
25,“Select Service Contract” dropdown not loading data in New Service Invoice pag_,"1-Go to Services
2- click on invoices
3-  click on New Service Invoice
4- click on droplist Select Service Contract",The dropdown should load and display all available Service Contracts to choose from,The dropdown does not show any data,High,High,,,No data display/ make sure from busines that we must make precondition to display options !,
26,Summary numbers displayed outside their correct position in Payment Workbench pag_,"1-Go to Services
2- click on payment
3- look at numbers ",ll summary numbers should be neatly aligned and displayed inside their respective boxes.,The numeric values are displayed outside their designated boxes,Low,Medium,,,,
27,“Process Payment” button returns 404 error,"1-Go to Services
2- click on payment
3- click on process payment",The system should open the Process Payment page or modal to allow the user to continue with the payment workflow.,The system redirects to a 404 Not Found page.,High,High,,,,
28,“Pay Milestone” button not functioning on Payment Details page,"1-Go to Services
2- click on payment
3- click on pay milestone",Clicking “Pay Milestone” should trigger a modal or initiate the payment process for the selected milestone.,No response when clicking the “Pay Milestone” button,Medium,Medium,,,,
29,“View Details” and “Download” buttons not working under Payment Milestones section,"1-Go to Services
2- click on payment
3- click on view dtails or download","View Details should open milestone information
Download should generate or download the milestone-related document","Both buttons are unresponsive; no modal, action, or file is triggered",Medium,High,,,,
30,Payment selection checkbox not working in Payment Details page,"1-Go to Services
2- click on payment
3- try to select payment from checkbox on the left",The checkbox should allow the user to select/deselect the payment,The checkbox does not respond; it cannot be selected or deselected,Low,Low,,,,
31,“Export Report” button not working in Analytics page,"1-Go to Services
2- click on analytics
3- click on export report","Clicking the “Export Report” button should generate and download a report file (e.g., PDF, Excel, or CSV)",Nothing happens when clicking the button,Medium,High,,,,
32,“Export Reports” button not working in Reports page,"1-Go to Reports
2- click on export reports","Clicking the “Export Report” button should generate and download a report file (e.g., PDF, Excel, or CSV)",Nothing happens when clicking the button,Medium,High,,,,
33,“Apply Filter” button not working in Reports page,"1-Go to Reports
2- select date range
3- click apply filter",Reports should be filtered according to the selected date range.,"No error message, confirmation, or visual feedback appears.",Low,Medium,,,,
34,Download icons not working in Reports page,"1-Go to Reports
2- click on download icon for any Procurement ","Clicking the Download icon should generate and download the respective report file (PDF, Excel, or CSV).",No file download occurs,Medium,Medium,,,,
35,“New Workflow” button not working in Automation _ Workflows page,"1-Go to automation
2- click on work flow
3- click on new workflow",Clicking New Workflow should open a modal or redirect to a page allowing the user to create a new workflow.,Nothing happens,Medium,Medium,,,,
36,“Export” button not working in KPIs page,"1-Go to KPIS
2- click on export","Clicking the Export button should generate and download a report file (PDF, Excel, or CSV).",Nothing happens,Low,Low,,,,
